participantID,gender,maritalStatus,age,housing,townType,governorate,employment ,workLocation,education,beforeIncome,afterIncome,haveGarden,timeInGardenYN,whyNoTimeInGarden,aloneInGarden,familyInGarden,kidsInGarden,neighborsInGarden,friendsInGarden,afterGardenRelaxing,afterGardenExercising,afterGardenGardening,afterGardenOrchard,afterGardenOrnamentals,afterGardenLandscaping,afterGardenLivestock,afterGardenBirdPhotography,afterGardenHarvesting,visitGreenspace,whyNoVisitGreenspace,aloneGreenspace,familyGreenspace,kidsGreenspace,neighborsGreenspace,friendsGreenspace,walkingGreenspace,bicyclingGreenspace,carGreenspace,busGreenspace,taxiGreenspace,distanceGreenspace_under0.5,distanceGreenspace_0.5to1,distanceGreenspace_1to2,distanceGreenspace_over2,afterGreenspaceExercise,afterGreenspaceRelaxing,afterGreenspaceBirdPhotography,afterGreenspaceHarvesting,visitNatural,whyNoVisitNatural,aloneNatural,familyNatural,kidsNatural,neighborsNatural,friendsNatural,walkingNatural,bicyclingNatural,carNatural,busNatural,taxiNatural,distanceNatural_under0.5,distanceNatural_0.5to1,distanceNatural_1to2,distanceNatural_2to4,distanceNatural_over4,afterNaturalExercise,afterNaturalRelaxing,afterNaturalBirdPhotography,afterNaturalScenery,afterNaturalHarvesting,afterNaturalGathering,afterNaturalHistoric,afterNaturalCamping,afterNaturalLandscaping,afterNaturalCultivation,afterNaturalOrchard,afterNaturalLivestock
61,Female,Single,18 - 25,House,Town,Nablus,Student,,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,More often,Much more often,More often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,More often,Much more often,More often,About the same,I don't do this activity,I don't do this activity,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
62,Female,Married, 26 - 35,Apartment,Refugee Camp,Nablus,Freelancer,Inside the West Bank,Highschool or Less,"2,001 - 4,000 NIS",Severely decreased,No,,,,,,,,,,,,,,,,,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,No,Mainly because there is no open natural areas around and near my town,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Female,Single,18 - 25,House,Village,Qalqelyah,Medical Sector Employee,Inside the West Bank,Bachelor,I have no income,Increased,No,,,,,,,,,,,,,,,,,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,No,Mainly because there is no open natural areas around and near my town,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Female,Single,Less than 18,House,Village,Qalqelyah,Student,,Highschool or Less,I have no income,I have no income,No,,,,,,,,,,,,,,,,,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,No,Mainly because there is no open natural areas around and near my town,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Female,Single,18 - 25,House,Refugee Camp,Nablus,Unemployed,,Bachelor,I have no income,The same,No,,,,,,,,,,,,,,,,,Yes,,,Before the pandemic,,,Before the pandemic,,,,,Before the pandemic,,Before the pandemic,,,Much less,Much less,Much less,I don't do this activity,No,Mainly because there is no open natural areas around and near my town,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Female,Other,18 - 25,House,Village,Nablus,Private Sector Employee,Inside the West Bank,Highschool or Less,"Less than 2,000 NIS",The same,No,,,,,,,,,,,,,,,,,No,The available parks and green areas are not appropriate for receiving people,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,I don't do this activity,Much less,I don't do this activity,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
67,Female,Single,18 - 25,House,Refugee Camp,Tulkarem,Student,,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,Before the pandemic,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,About the same,More often,More often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,More often,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,More often,About the same,About the same,About the same,About the same,I don't do this activity
68,Female,Single,18 - 25,House,City,Nablus,Student,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",The same,Yes,Yes,,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,No,Because of the noise,,,,,,,,,,,,,,,,,,,Yes,,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same
69,Female,Single,18 - 25,House,Village,Nablus,Student,,Bachelor,I have no income,I have no income,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,Before the pandemic,Before the pandemic,Much more often,Much more often,About the same,Much more often,Much more often,Much more often,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,About the same,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,,,,I don't do this activity,More often,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
70,Female,Married, 26 - 35,Apartment,City,Nablus,Unemployed,,Diploma,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,About the same,About the same,Less often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,Less often,Less often,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
71,Female,Married,18 - 25,Apartment,Village,Nablus,Unemployed,Inside the West Bank,Bachelor,I have no income,Severely decreased,No,,,,,,,,,,,,,,,,,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,After the pandemic occurred,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,,Before the pandemic,Before the pandemic,Before the pandemic,,About the same,Much less,I don't do this activity,Much less,,Much more often,About the same,,Much less,I don't do this activity,I don't do this activity,I don't do this activity
72,Male,Married,46 - 55,House,Village,Qalqelyah,Worker,Inside the Greenline,Highschool or Less,I prefer not to answer,Severely decreased,Yes,Yes,,,Before the pandemic,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,Less often,About the same,More often,More often,More often,More often,More often,About the same,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",,,,,,About the same,Much less,About the same,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,More often,Much more often,Much more often,Much more often,I don't do this activity,Much more often,Much more often,Much more often,Much more often,Much more often,Much more often,Much more often
73,Female,Single,18 - 25,House,Village,Qalqelyah,Student,,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,I don't do this activity,Much less,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,I don't do this activity,Much less,I don't do this activity,Much less,I don't do this activity,Less often,I don't do this activity,I don't do this activity,I don't do this activity,Much less,I don't do this activity,I don't do this activity
74,Male,Married, 26 - 35,Apartment,Town,Nablus,Private Sector Employee,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",The same,No,,,,,,,,,,,,,,,,,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,I don't do this activity,About the same,About the same,About the same,I don't do this activity,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
75,Female,Married,18 - 25,Apartment,City,,Unemployed,,Highschool or Less,"Less than 2,000 NIS",Severely decreased,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",Much less,Much more often,I don't do this activity,I don't do this activity,No,Mainly because there is no open natural areas around and near my town,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Female,Single,18 - 25,House,City,Bethlehem,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,No,Because of lack of privacy,,,,,,,,,,,,,,,Yes,,,,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,Much less,Less often,Much less,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,Less often,Less often,I don't do this activity,More often,I don't do this activity,Much less,Much less,I don't do this activity,I don't do this activity,I don't do this activity,Much less,I don't do this activity
77,Female,Single,18 - 25,House,Town,Nablus,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,More often,I don't do this activity,I don't do this activity,Less often,More often,Much more often,I don't do this activity,Much more often,I don't do this activity,No,Because of the noise,,,,,,,,,,,,,,,,,,,No,Because of the noise,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Female,Single,Less than 18,House,City,Bethlehem,Student,Inside the West Bank,Highschool or Less,I have no income,I have no income,Yes,No,Not one of my interests,,,,,,,,,,,,,,,No,Not one of my interests,,,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Female,Single,18 - 25,House,City,Qalqelyah,Student,,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",Before the pandemic,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Before the pandemic,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,After the pandemic occurred,Less often,Much less,Much less,I don't do this activity,Yes,,,,,,,,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,I don't do this activity,Less often,Less often,More often,I don't do this activity,I don't do this activity,Much less,I don't do this activity,I don't do this activity,Much less,Less often,I don't do this activity
80,Female,Single,18 - 25,House,City,Bethlehem,Student,,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Much less,Much less,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,Much less,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
81,Female,Single,18 - 25,Apartment,City,Qalqelyah,Student,,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,,,,I don't do this activity,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Much less,I don't do this activity,I don't do this activity
82,Male,Single,18 - 25,Apartment,City,Nablus,Student,Inside the West Bank,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,No,Mainly because there is no open natural areas around and near my town,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Female,Single,18 - 25,House,City,Jenin,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,Before the pandemic,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,Much more often,I don't do this activity,More often,About the same,Much more often,About the same,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,After the pandemic occurred,,,After the pandemic occurred,,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,Much more often,I don't do this activity,I don't do this activity,Yes,,Before the pandemic,After the pandemic occurred,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",About the same,More often,I don't do this activity,More often,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,Much more often,Much more often,I don't do this activity
84,Female,Single,18 - 25,House,City,Jenin,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,About the same,I don't do this activity,About the same,I don't do this activity,Much less,I don't do this activity,I don't do this activity,Much less,I don't do this activity,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",Before the pandemic,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",After the pandemic occurred,Before the pandemic,After the pandemic occurred,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,Much more often,More often,About the same,I don't do this activity,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,Before the pandemic,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,Before the pandemic,"Before the pandemic, After the pandemic occurred",Before the pandemic,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,Before the pandemic,After the pandemic occurred,Before the pandemic,After the pandemic occurred,More often,More often,I don't do this activity,More often,I don't do this activity,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
85,Male,Single,18 - 25,House,City,Tubas,Governmental Employee,Inside the West Bank,Bachelor,I prefer not to answer,I have no income,Yes,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",About the same,Much more often,Much more often,Much more often,About the same,Much more often,I don't do this activity,More often,I don't do this activity,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",More often,Much more often,More often,I don't do this activity,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",More often,More often,More often,About the same,I don't do this activity,About the same,Much more often,More often,More often,More often,More often,I don't do this activity
86,Female,Single,Less than 18,House,City,Jenin,Student,Inside the West Bank,Highschool or Less,I prefer not to answer,I have no income,Yes,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Less often,About the same,Much more often,Less often,More often,Less often,Much more often,Much more often,I don't do this activity,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,Yes,,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,After the pandemic occurred,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,More often,Less often,More often,More often,Much less,Much more often,About the same,I don't do this activity,I don't do this activity,Much less,I don't do this activity,I don't do this activity
87,Male,Single,18 - 25,House,City,Jenin,Student,Inside the West Bank,Diploma,"2,001 - 4,000 NIS",The same,Yes,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,"Before the pandemic, After the pandemic occurred",Much less,Much more often,Much more often,Much more often,Much more often,Much more often,I don't do this activity,Much less,I don't do this activity,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,After the pandemic occurred,After the pandemic occurred,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Less often,More often,About the same,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,Before the pandemic,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",Before the pandemic,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,After the pandemic occurred,More often,More often,Much more often,Much less,Much less,Much more often,Much more often,Much more often,About the same,Much more often,Much more often,I don't do this activity
88,Female,Single,18 - 25,Apartment,City,Nablus,Student,,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,,Before the pandemic,,,After the pandemic occurred,,,Before the pandemic,,,,,Before the pandemic,,I don't do this activity,Much more often,I don't do this activity,I don't do this activity,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,Before the pandemic,,After the pandemic occurred,I don't do this activity,Much more often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
89,Female,Married, 56 - 65,House,Town,Nablus,Teacher,Inside the West Bank,Diploma,"2,001 - 4,000 NIS",The same,No,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",Much less,More often,I don't do this activity,I don't do this activity,I don't do this activity,Much more often,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
90,Male,Married,36 - 45,Apartment,Village,Nablus,Worker,Inside the West Bank,Bachelor,"4,001 - 6,000 NIS",The same,No,,,,,,,,,,,,,,,,,No,The available parks and green areas are not appropriate for receiving people,,,,,,,,,,,,,,,,,,,No,Mainly because of checkpoints and occupation restrictions,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Female,Single,18 - 25,House,Town,Jerusalem,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,Before the pandemic,"Before the pandemic, After the pandemic occurred",Before the pandemic,,,Much less,About the same,About the same,About the same,Less often,Less often,Much less,I don't do this activity,I don't do this activity,Yes,,,Before the pandemic,Before the pandemic,,Before the pandemic,Before the pandemic,,Before the pandemic,Before the pandemic,,,,After the pandemic occurred,Before the pandemic,I don't do this activity,Much less,I don't do this activity,I don't do this activity,Yes,,,Before the pandemic,,,Before the pandemic,Before the pandemic,,Before the pandemic,Before the pandemic,,,After the pandemic occurred,After the pandemic occurred,,Before the pandemic,I don't do this activity,Much less,I don't do this activity,Much less,I don't do this activity,Much less,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
92,Female,Married,36 - 45,Apartment,City,Nablus,Private Sector Employee,Inside the West Bank,Master,"2,001 - 4,000 NIS",The same,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",More often,I don't do this activity,More often,Much more often,Much more often,Much more often,I don't do this activity,Much more often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,Much more often,Much more often,I don't do this activity,I don't do this activity,Yes,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,Much more often,Much more often,I don't do this activity,Less often,I don't do this activity,Much more often,Much more often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
93,Female,Single,18 - 25,House,Village,Nablus,Student,,Bachelor,,,Yes,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Much less,Less often,Less often,I don't do this activity,Much less,Less often,I don't do this activity,Much more often,I don't do this activity,Yes,,Before the pandemic,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,,,Before the pandemic,After the pandemic occurred,,,"Before the pandemic, After the pandemic occurred",,,About the same,About the same,About the same,I don't do this activity,No,Mainly because I feel unsafe and unsecure when being in open nature,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Female,Married,46 - 55,House,Village,Qalqelyah,Unemployed,Inside the West Bank,Highschool or Less,I have no income,I have no income,Yes,No,Because of lack of privacy,,,,,,,,,,,,,,,No,Because of the noise,,,,,,,,,,,,,,,,,,,No,Mainly because of checkpoints and occupation restrictions,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Male,Single,18 - 25,House,Village,Qalqelyah,Student,Inside the West Bank,Highschool or Less,I have no income,I have no income,No,,,,,,,,,,,,,,,,,No,Mainly for economic reasons,After the pandemic occurred,Before the pandemic,,,,,,Before the pandemic,,After the pandemic occurred,After the pandemic occurred,,Before the pandemic,,I don't do this activity,I don't do this activity,Much less,I don't do this activity,Yes,,After the pandemic occurred,Before the pandemic,,,,,,After the pandemic occurred,,Before the pandemic,After the pandemic occurred,,,Before the pandemic,,I don't do this activity,Much less,Much less,Less often,Much less,I don't do this activity,I don't do this activity,Much less,Much less,Less often,Less often,I don't do this activity
96,Male,Married,36 - 45,Apartment,City,Nablus,Private Sector Employee,Inside the West Bank,,"6,001 - 8,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Before the pandemic,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",About the same,Less often,About the same,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Before the pandemic,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",About the same,About the same,I don't do this activity,More often,About the same,About the same,More often,About the same,I don't do this activity,About the same,I don't do this activity,I don't do this activity
97,Female,Married, 26 - 35,House,Town,Jenin,Teacher,Inside the Greenline,Bachelor,"Less than 2,000 NIS",The same,No,,,,,,,,,,,,,,,,,Yes,,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,Less often,More often,I don't do this activity,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
98,Female,Single, 26 - 35,House,Village,Qalqelyah,Private Sector Employee,Inside the West Bank,Bachelor,I prefer not to answer,The same,Yes,No,Not one of my interests,,,,,,,,,,,,,,,No,The available parks and green areas are not appropriate for receiving people,,,,,,,,,,,,,,,,,,,No,Not one of my interests,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Female,Single,18 - 25,Apartment,City,Jenin,Student,,Highschool or Less,I prefer not to answer,I have no income,No,,,,,,,,,,,,,,,,,Yes,,,After the pandemic occurred,,,,,,Before the pandemic,,,,After the pandemic occurred,,,More often,More often,More often,I don't do this activity,Yes,,,After the pandemic occurred,,,,,,After the pandemic occurred,,,,Before the pandemic,,,,More often,More often,More often,More often,I don't do this activity,More often,About the same,I don't do this activity,I don't do this activity,About the same,About the same,I don't do this activity
100,Female,Married,36 - 45,House,Village,Jenin,Unemployed,,Highschool or Less,"Less than 2,000 NIS",Severely decreased,Yes,No,Because of lack of privacy,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,About the same,More often,More often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,More often,More often,More often,More often,I don't do this activity,More often,About the same,I don't do this activity,More often,I don't do this activity,More often,I don't do this activity
